Fx, Fy, Fz, F.Mag
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05085767,-0.004054234,0.02005731,0.05482002,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05713999,-0.005198003,0.02491973,0.0625539,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05727222,-0.004271233,0.0262417,0.06314252,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05723679,-0.003324199,0.0268577,0.06331222,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.05810995,-0.002741321,0.02797517,0.06455147,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0602843,-0.00235012,0.02897076,0.06692551,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.0645353,-0.00519595,0.03068286,0.07164664,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07063857,-0.0054479,0.03328894,0.07827925,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.07874278,-0.005951525,0.03711902,0.08725633,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.08836259,-0.006730537,0.04200557,0.09806995,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.0979015,-0.007689536,0.04784228,0.109237,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1070457,-0.008719532,0.05472044,0.1205369,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1152187,-0.009700686,0.06224656,0.1313167,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1260712,-0.01153283,0.0723099,0.1457933,
-0.1370735,-0.01356096,0.08280838,0.160718,
-0.1370735,-0.01356096,0.08280838,0.160718,
-0.1370735,-0.01356096,0.08280838,0.160718,
-0.1370735,-0.01356096,0.08280838,0.160718,
-0.1370735,-0.01356096,0.08280838,0.160718,
-0.1370735,-0.01356096,0.08280838,0.160718,
-0.1370735,-0.01356096,0.08280838,0.160718,
-0.1370735,-0.01356096,0.08280838,0.160718,
-0.1370735,-0.01356096,0.08280838,0.160718,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1377576,-0.01118397,0.06904373,0.1544968,
-0.1444707,-0.01225503,0.07646149,0.1639156,
-0.1444707,-0.01225503,0.07646149,0.1639156,
-0.1444707,-0.01225503,0.07646149,0.1639156,
-0.1444707,-0.01225503,0.07646149,0.1639156,
-0.1444707,-0.01225503,0.07646149,0.1639156,
-0.1444707,-0.01225503,0.07646149,0.1639156,
-0.1444707,-0.01225503,0.07646149,0.1639156,
-0.1444707,-0.01225503,0.07646149,0.1639156,
