Fx, Fy, Fz, F.Mag
0.01679958,-0.0173373,0.1943928,0.1958861,
0.01679958,-0.0173373,0.1943928,0.1958861,
0.01679958,-0.0173373,0.1943928,0.1958861,
0.01679958,-0.0173373,0.1943928,0.1958861,
0.01679958,-0.0173373,0.1943928,0.1958861,
0.01915707,-0.01391763,0.2242945,0.2255409,
0.01915707,-0.01391763,0.2242945,0.2255409,
0.01915707,-0.01391763,0.2242945,0.2255409,
0.01915707,-0.01391763,0.2242945,0.2255409,
0.01915707,-0.01391763,0.2242945,0.2255409,
0.01915707,-0.01391763,0.2242945,0.2255409,
0.01915707,-0.01391763,0.2242945,0.2255409,
0.01915707,-0.01391763,0.2242945,0.2255409,
0.01915707,-0.01391763,0.2242945,0.2255409,
0.01915707,-0.01391763,0.2242945,0.2255409,
0.02041132,-0.009562556,0.2499233,0.2509377,
0.02041132,-0.009562556,0.2499233,0.2509377,
0.02041132,-0.009562556,0.2499233,0.2509377,
0.02041132,-0.009562556,0.2499233,0.2509377,
0.02041132,-0.009562556,0.2499233,0.2509377,
0.02041132,-0.009562556,0.2499233,0.2509377,
0.02041132,-0.009562556,0.2499233,0.2509377,
0.02041132,-0.009562556,0.2499233,0.2509377,
0.02041132,-0.009562556,0.2499233,0.2509377,
0.02041132,-0.009562556,0.2499233,0.2509377,
0.07133655,-0.0154069,0.2765794,0.2860462,
0.07133655,-0.0154069,0.2765794,0.2860462,
0.07133655,-0.0154069,0.2765794,0.2860462,
0.07133655,-0.0154069,0.2765794,0.2860462,
0.07133655,-0.0154069,0.2765794,0.2860462,
0.07133655,-0.0154069,0.2765794,0.2860462,
0.07133655,-0.0154069,0.2765794,0.2860462,
0.07133655,-0.0154069,0.2765794,0.2860462,
0.07109668,-0.003370209,0.3003159,0.3086353,
0.07109668,-0.003370209,0.3003159,0.3086353,
0.07109668,-0.003370209,0.3003159,0.3086353,
0.07109668,-0.003370209,0.3003159,0.3086353,
0.07109668,-0.003370209,0.3003159,0.3086353,
0.07109668,-0.003370209,0.3003159,0.3086353,
0.07109668,-0.003370209,0.3003159,0.3086353,
0.0717355,0.002872318,0.3216029,0.3295189,
0.0717355,0.002872318,0.3216029,0.3295189,
0.0717355,0.002872318,0.3216029,0.3295189,
0.0717355,0.002872318,0.3216029,0.3295189,
0.0717355,0.002872318,0.3216029,0.3295189,
0.0717355,0.002872318,0.3216029,0.3295189,
0.0717355,0.002872318,0.3216029,0.3295189,
0.0717355,0.002872318,0.3216029,0.3295189,
0.0717355,0.002872318,0.3216029,0.3295189,
0.0717355,0.002872318,0.3216029,0.3295189,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.04651668,0.007202467,0.3828174,0.3857004,
0.04651668,0.007202467,0.3828174,0.3857004,
0.04651668,0.007202467,0.3828174,0.3857004,
0.04651668,0.007202467,0.3828174,0.3857004,
