Fx, Fy, Fz, F.Mag
-0.04347872,0.01956965,0.2866915,0.2906292,
-0.04347872,0.01956965,0.2866915,0.2906292,
-0.04347872,0.01956965,0.2866915,0.2906292,
-0.04347872,0.01956965,0.2866915,0.2906292,
-0.04347872,0.01956965,0.2866915,0.2906292,
-0.04347872,0.01956965,0.2866915,0.2906292,
-0.04347872,0.01956965,0.2866915,0.2906292,
-0.04347872,0.01956965,0.2866915,0.2906292,
-0.07069216,0.01778015,0.3063255,0.3148791,
-0.07069216,0.01778015,0.3063255,0.3148791,
-0.07069216,0.01778015,0.3063255,0.3148791,
-0.07069216,0.01778015,0.3063255,0.3148791,
-0.07069216,0.01778015,0.3063255,0.3148791,
-0.07805315,0.01219408,0.3174754,0.3271568,
-0.07805315,0.01219408,0.3174754,0.3271568,
-0.07805315,0.01219408,0.3174754,0.3271568,
-0.07805315,0.01219408,0.3174754,0.3271568,
-0.07805315,0.01219408,0.3174754,0.3271568,
-0.07805315,0.01219408,0.3174754,0.3271568,
-0.07805315,0.01219408,0.3174754,0.3271568,
-0.07805315,0.01219408,0.3174754,0.3271568,
-0.07805315,0.01219408,0.3174754,0.3271568,
-0.07805315,0.01219408,0.3174754,0.3271568,
-0.07076459,0.007622012,0.3234342,0.3311728,
-0.07076459,0.007622012,0.3234342,0.3311728,
-0.07076459,0.007622012,0.3234342,0.3311728,
-0.07076459,0.007622012,0.3234342,0.3311728,
-0.07076459,0.007622012,0.3234342,0.3311728,
-0.07076459,0.007622012,0.3234342,0.3311728,
-0.07076459,0.007622012,0.3234342,0.3311728,
-0.05733539,0.003908023,0.3258682,0.3308968,
-0.05733539,0.003908023,0.3258682,0.3308968,
-0.05733539,0.003908023,0.3258682,0.3308968,
-0.05733539,0.003908023,0.3258682,0.3308968,
-0.05733539,0.003908023,0.3258682,0.3308968,
-0.05733539,0.003908023,0.3258682,0.3308968,
-0.05733539,0.003908023,0.3258682,0.3308968,
-0.05733539,0.003908023,0.3258682,0.3308968,
-0.0544638,0.002237268,0.3282357,0.3327311,
-0.0544638,0.002237268,0.3282357,0.3327311,
-0.0544638,0.002237268,0.3282357,0.3327311,
-0.0544638,0.002237268,0.3282357,0.3327311,
-0.0544638,0.002237268,0.3282357,0.3327311,
-0.0544638,0.002237268,0.3282357,0.3327311,
-0.0544638,0.002237268,0.3282357,0.3327311,
-0.0544638,0.002237268,0.3282357,0.3327311,
-0.0544638,0.002237268,0.3282357,0.3327311,
-0.0544638,0.002237268,0.3282357,0.3327311,
-0.0600691,0.0001610724,0.3326384,0.3380186,
-0.0600691,0.0001610724,0.3326384,0.3380186,
-0.0600691,0.0001610724,0.3326384,0.3380186,
-0.0600691,0.0001610724,0.3326384,0.3380186,
-0.0600691,0.0001610724,0.3326384,0.3380186,
-0.0600691,0.0001610724,0.3326384,0.3380186,
-0.0600691,0.0001610724,0.3326384,0.3380186,
-0.0456531,-0.0007426994,0.3370426,0.3401213,
-0.0456531,-0.0007426994,0.3370426,0.3401213,
-0.0456531,-0.0007426994,0.3370426,0.3401213,
-0.0456531,-0.0007426994,0.3370426,0.3401213,
-0.0456531,-0.0007426994,0.3370426,0.3401213,
-0.0456531,-0.0007426994,0.3370426,0.3401213,
-0.0456531,-0.0007426994,0.3370426,0.3401213,
-0.0456531,-0.0007426994,0.3370426,0.3401213,
-0.0456531,-0.0007426994,0.3370426,0.3401213,
-0.01607826,4.274649E-05,0.3399243,0.3403043,
-0.01607826,4.274649E-05,0.3399243,0.3403043,
-0.01607826,4.274649E-05,0.3399243,0.3403043,
-0.01607826,4.274649E-05,0.3399243,0.3403043,
-0.01607826,4.274649E-05,0.3399243,0.3403043,
-0.01607826,4.274649E-05,0.3399243,0.3403043,
-0.01607826,4.274649E-05,0.3399243,0.3403043,
-0.01607826,4.274649E-05,0.3399243,0.3403043,
-0.01607826,4.274649E-05,0.3399243,0.3403043,
-0.0003580329,0.0002849439,0.3420401,0.3420404,
-0.0003580329,0.0002849439,0.3420401,0.3420404,
-0.0003580329,0.0002849439,0.3420401,0.3420404,
-0.0003580329,0.0002849439,0.3420401,0.3420404,
-0.0003580329,0.0002849439,0.3420401,0.3420404,
-0.0003580329,0.0002849439,0.3420401,0.3420404,
-0.0003580329,0.0002849439,0.3420401,0.3420404,
-0.0003580329,0.0002849439,0.3420401,0.3420404,
0.004830334,0.002250013,0.3440918,0.344133,
0.004830334,0.002250013,0.3440918,0.344133,
0.004830334,0.002250013,0.3440918,0.344133,
0.004830334,0.002250013,0.3440918,0.344133,
0.004830334,0.002250013,0.3440918,0.344133,
0.004830334,0.002250013,0.3440918,0.344133,
0.004830334,0.002250013,0.3440918,0.344133,
0.02143938,0.008993757,0.3485232,0.3492978,
0.02143938,0.008993757,0.3485232,0.3492978,
0.02143938,0.008993757,0.3485232,0.3492978,
0.02143938,0.008993757,0.3485232,0.3492978,
0.02143938,0.008993757,0.3485232,0.3492978,
0.02143938,0.008993757,0.3485232,0.3492978,
0.02143938,0.008993757,0.3485232,0.3492978,
0.05290119,0.01696452,0.3536207,0.357958,
0.05290119,0.01696452,0.3536207,0.357958,
0.05290119,0.01696452,0.3536207,0.357958,
0.05290119,0.01696452,0.3536207,0.357958,
0.05290119,0.01696452,0.3536207,0.357958,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.002465991,-0.05582134,0.3853182,0.3893485,
0.002465991,-0.05582134,0.3853182,0.3893485,
0.002465991,-0.05582134,0.3853182,0.3893485,
0.002465991,-0.05582134,0.3853182,0.3893485,
0.002465991,-0.05582134,0.3853182,0.3893485,
0.002465991,-0.05582134,0.3853182,0.3893485,
0.002465991,-0.05582134,0.3853182,0.3893485,
0.002465991,-0.05582134,0.3853182,0.3893485,
0.002465991,-0.05582134,0.3853182,0.3893485,
0.002465991,-0.05582134,0.3853182,0.3893485,
0.01796412,-0.06996275,0.3972327,0.4037466,
0.01796412,-0.06996275,0.3972327,0.4037466,
0.01796412,-0.06996275,0.3972327,0.4037466,
0.01796412,-0.06996275,0.3972327,0.4037466,
0.01796412,-0.06996275,0.3972327,0.4037466,
0.01796412,-0.06996275,0.3972327,0.4037466,
0.01796412,-0.06996275,0.3972327,0.4037466,
0.01796412,-0.06996275,0.3972327,0.4037466,
0.01796412,-0.06996275,0.3972327,0.4037466,
0.01796412,-0.06996275,0.3972327,0.4037466,
-0.02014735,-0.06893663,0.3740666,0.380899,
-0.02014735,-0.06893663,0.3740666,0.380899,
-0.02014735,-0.06893663,0.3740666,0.380899,
-0.02014735,-0.06893663,0.3740666,0.380899,
-0.02014735,-0.06893663,0.3740666,0.380899,
-0.02014735,-0.06893663,0.3740666,0.380899,
-0.02014735,-0.06893663,0.3740666,0.380899,
-0.02014735,-0.06893663,0.3740666,0.380899,
-0.02014735,-0.06893663,0.3740666,0.380899,
0.03283529,-0.0854772,0.378646,0.3895604,
0.03283529,-0.0854772,0.378646,0.3895604,
0.03283529,-0.0854772,0.378646,0.3895604,
0.03283529,-0.0854772,0.378646,0.3895604,
0.03283529,-0.0854772,0.378646,0.3895604,
0.03283529,-0.0854772,0.378646,0.3895604,
0.03283529,-0.0854772,0.378646,0.3895604,
0.03283529,-0.0854772,0.378646,0.3895604,
0.03283529,-0.0854772,0.378646,0.3895604,
0.2874472,-0.1221645,0.4436069,0.5425285,
0.2874472,-0.1221645,0.4436069,0.5425285,
0.2874472,-0.1221645,0.4436069,0.5425285,
0.2874472,-0.1221645,0.4436069,0.5425285,
0.2874472,-0.1221645,0.4436069,0.5425285,
0.2874472,-0.1221645,0.4436069,0.5425285,
0.2874472,-0.1221645,0.4436069,0.5425285,
0.2874472,-0.1221645,0.4436069,0.5425285,
0.2874472,-0.1221645,0.4436069,0.5425285,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0.2785165,-0.1370682,0.4582359,0.5534793,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.1296538,0.1607085,0.4635246,0.5074371,
0.1296538,0.1607085,0.4635246,0.5074371,
0.1296538,0.1607085,0.4635246,0.5074371,
0.1296538,0.1607085,0.4635246,0.5074371,
0.1296538,0.1607085,0.4635246,0.5074371,
0.09135594,0.1831709,0.4623143,0.5056007,
0.09135594,0.1831709,0.4623143,0.5056007,
0.09135594,0.1831709,0.4623143,0.5056007,
0.09135594,0.1831709,0.4623143,0.5056007,
0.09135594,0.1831709,0.4623143,0.5056007,
0.09135594,0.1831709,0.4623143,0.5056007,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.2393328,-0.000678663,0.4862935,0.5419982,
0.2393328,-0.000678663,0.4862935,0.5419982,
0.2393328,-0.000678663,0.4862935,0.5419982,
0.2393328,-0.000678663,0.4862935,0.5419982,
0.2393328,-0.000678663,0.4862935,0.5419982,
0.2393328,-0.000678663,0.4862935,0.5419982,
0.2393328,-0.000678663,0.4862935,0.5419982,
0.2393328,-0.000678663,0.4862935,0.5419982,
0.2430914,-0.006652907,0.4912364,0.548134,
0.2430914,-0.006652907,0.4912364,0.548134,
0.2430914,-0.006652907,0.4912364,0.548134,
0.2430914,-0.006652907,0.4912364,0.548134,
0.2430914,-0.006652907,0.4912364,0.548134,
0.2430914,-0.006652907,0.4912364,0.548134,
0.2430914,-0.006652907,0.4912364,0.548134,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
